# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.98
2                      43.67
4                      43.64
8                      43.59
16                     43.81
32                     43.56
64                     43.72
128                    43.48
256                    43.59
512                    43.07
1024                   43.54
2048                   43.30
4096                   43.65
8192                   43.73
16384                  43.87
32768                  43.95
65536                  45.49
131072                 47.75
262144                 50.41
524288                 57.46
1048576                70.31
