# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      31.13
8                      30.41
16                     30.52
32                     30.34
64                     30.73
128                    30.87
256                    34.56
512                    35.15
1024                   37.35
2048                   38.55
4096                   41.25
8192                   54.49
16384                  56.36
32768                  61.59
65536                  72.41
131072                 88.23
262144                125.55
524288                210.05
1048576               368.73
