# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      51.37
2                      50.58
4                      50.45
8                      50.44
16                     50.47
32                     50.80
64                     50.78
128                    51.13
256                    50.71
512                    51.00
1024                   51.91
2048                   54.21
4096                   54.66
8192                   55.20
16384                  57.95
32768                  62.40
65536                  70.14
131072                 70.90
262144                 98.73
524288                179.37
1048576              3523.63
