# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      17.81
2                      17.60
4                      17.62
8                      17.65
16                     17.70
32                     17.69
64                     18.73
128                    19.65
256                    18.66
512                    18.68
1024                   18.88
2048                   19.33
4096                   20.38
8192                   21.31
16384                  25.37
32768                  30.61
65536                  35.98
131072                 45.24
262144                 62.84
524288                 98.32
1048576               164.66
