# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.98
2                      40.29
4                      39.94
8                      40.63
16                     40.22
32                     40.44
64                     40.47
128                    40.13
256                    40.91
512                    40.30
1024                   39.80
2048                   40.70
4096                   40.17
8192                   40.95
16384                  40.91
32768                  41.53
65536                  43.59
131072                 45.08
262144                 51.97
524288                 60.34
1048576                78.31
