# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.95
2                      42.61
4                      42.66
8                      42.60
16                     42.56
32                     42.70
64                     42.66
128                    42.59
256                    42.35
512                    42.30
1024                   42.14
2048                   42.43
4096                   42.38
8192                   42.86
16384                  42.99
32768                  43.92
65536                  44.12
131072                 46.57
262144                 49.37
524288                 55.83
1048576                68.99
