# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.46
8                      29.73
16                     29.64
32                     29.45
64                     29.63
128                    30.84
256                    32.19
512                    32.44
1024                   32.86
2048                   34.70
4096                   35.85
8192                   46.19
16384                  48.13
32768                  53.25
65536                  67.15
131072                 82.39
262144                113.39
524288                159.41
1048576               279.24
