# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.79
8                      33.07
16                     33.39
32                     33.70
64                     34.84
128                    33.81
256                    35.80
512                    35.32
1024                   38.04
2048                   39.24
4096                   57.72
8192                   70.91
16384                  85.80
32768                  99.53
65536                 122.73
131072                177.17
262144                230.75
524288                377.39
1048576               705.37
