# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      25.14
2                      25.02
4                      24.83
8                      25.93
16                     25.64
32                     25.84
64                     26.13
128                    26.44
256                    29.35
512                    34.39
1024                   34.89
2048                   35.45
4096                   35.43
8192                   37.24
16384                  44.10
32768                  49.26
65536                  61.11
131072                 92.84
262144                145.63
524288                247.66
1048576               591.90
