# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      49.46
2                      49.06
4                      50.64
8                      52.01
16                     53.36
32                     56.01
64                     59.06
128                    58.85
256                    60.42
512                    67.45
1024                   81.49
2048                   91.48
4096                  120.05
8192                  177.81
16384                 351.75
32768                 840.34
65536                2379.76
131072               1246.72
262144               2415.93
524288               4718.24
1048576              9945.28
