# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      52.56
2                      51.71
4                      54.00
8                      54.68
16                     57.10
32                     59.00
64                     60.60
128                    66.14
256                    70.15
512                    78.22
1024                   99.72
2048                  127.82
4096                  183.87
8192                  293.47
16384                 592.35
32768                1058.81
65536                2412.33
