# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      30.50
8                      30.22
16                     30.08
32                     30.05
64                     30.26
128                    30.60
256                    34.73
512                    34.78
1024                   36.57
2048                   38.67
4096                   41.21
8192                   54.99
16384                  58.30
32768                  68.98
65536                  85.33
131072                108.62
262144                158.99
524288                268.30
1048576               492.98
