# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      25.89
8                      25.62
16                     25.95
32                     26.04
64                     26.42
128                    26.72
256                    27.34
512                    33.48
1024                   33.71
2048                   36.44
4096                   39.82
8192                   50.33
16384                  53.12
32768                  59.01
65536                  76.27
131072                 87.43
262144                128.35
524288                196.73
1048576               353.34
