# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      54.63
8                      53.75
16                     53.38
32                     53.06
64                     68.25
128                    72.99
256                    75.83
512                    77.83
1024                   80.28
2048                   83.38
4096                   87.54
8192                   89.42
16384                 109.41
32768                 130.25
65536                 158.06
131072                240.31
262144                412.68
524288                563.96
1048576              1049.85
