# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      31.86
2                      31.39
4                      31.51
8                      31.72
16                     31.66
32                     31.53
64                     31.65
128                    31.94
256                    38.12
512                    39.35
1024                   40.18
2048                   42.99
4096                   44.54
8192                   53.89
16384                  75.65
32768                  73.88
65536                 102.78
131072                 51.74
262144                 55.25
524288                 65.28
1048576                73.16
