# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.31
2                      25.95
4                      25.79
8                      25.92
16                     26.92
32                     26.90
64                     27.05
128                    27.29
256                    27.70
512                    35.48
1024                   36.25
2048                   37.73
4096                   38.64
8192                   41.85
16384                  47.27
32768                  55.75
65536                  70.64
131072                103.42
262144                164.24
524288               4554.41
1048576              8265.36
