# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      77.67
2                      76.61
4                      79.28
8                      76.28
16                     76.94
32                     83.04
64                    137.43
128                   139.24
256                   143.75
512                   161.91
1024                  177.75
2048                  183.24
4096                  221.83
8192                  301.14
16384                 413.24
32768                3430.18
65536               11727.36
131072                529.34
262144               1714.27
524288               2143.34
1048576              3577.52
