# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.11
2                      18.00
4                      17.85
8                      17.90
16                     17.85
32                     17.94
64                     18.98
128                    19.92
256                    18.81
512                    18.93
1024                   19.02
2048                   19.39
4096                   20.04
8192                   21.09
16384                  25.31
32768                  30.91
65536                  35.89
131072                 45.33
262144                 62.60
524288                 96.96
1048576               164.47
