# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      34.43
8                      34.15
16                     34.08
32                     34.70
64                     33.97
128                    34.47
256                    34.61
512                    35.94
1024                   37.22
2048                   39.57
4096                   56.84
8192                   68.40
16384                  86.41
32768                  96.50
65536                 123.99
131072                161.94
262144                227.61
524288                379.21
1048576               683.72
