# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.45
2                      16.32
4                      16.31
8                      16.26
16                     16.37
32                     16.46
64                     16.51
128                    15.86
256                    16.69
512                    16.70
1024                   16.88
2048                   17.10
4096                   17.46
8192                   18.05
16384                  19.02
32768                  22.93
65536                  27.00
131072                 36.22
262144                 53.66
524288                104.72
1048576               155.51
