# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      45.24
2                      45.26
4                      45.13
8                      45.04
16                     45.13
32                     45.20
64                     45.28
128                    45.25
256                    44.99
512                    45.07
1024                   45.25
2048                   45.94
4096                   45.59
8192                   46.03
16384                  46.43
32768                  46.89
65536                  47.70
131072                 49.52
262144                 53.54
524288                 63.51
1048576                71.89
