# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      61.76
2                      61.76
4                      61.83
8                      60.87
16                     61.23
32                     61.46
64                     61.64
128                    62.00
256                    61.28
512                    61.49
1024                   61.42
2048                   61.44
4096                   61.52
8192                   62.65
16384                  62.34
32768                  61.74
65536                  61.74
131072                 62.19
262144                 60.37
524288                 78.52
1048576                72.41
