# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.03
2                      40.24
4                      40.23
8                      40.07
16                     40.11
32                     40.23
64                     41.44
128                    42.19
256                    41.75
512                    42.29
1024                   44.23
2048                   45.75
4096                   50.19
8192                   54.95
16384                  59.32
32768                  70.13
65536                  78.71
131072                 90.37
262144                125.87
524288                190.07
1048576              3249.48
