# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.20
2                      41.64
4                      41.85
8                      41.61
16                     41.53
32                     41.72
64                     41.82
128                    43.08
256                    45.17
512                    46.72
1024                   49.33
2048                   51.48
4096                   52.87
8192                   55.04
16384                  59.54
32768                  69.67
65536                  82.21
131072                107.19
262144                155.41
524288                255.82
1048576               475.04
