# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      53.17
8                      52.29
16                     52.05
32                     52.05
64                     66.73
128                    71.12
256                    74.88
512                    76.61
1024                   79.19
2048                   82.45
4096                   91.96
8192                  115.03
16384                 133.24
32768                 161.38
65536                 186.78
131072                272.69
262144                466.94
524288                843.67
1048576              1623.37
