# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      55.27
8                      54.86
16                     54.29
32                     54.44
64                     70.66
128                    72.88
256                    80.13
512                    83.35
1024                   90.10
2048                   98.66
4096                  109.93
8192                  127.88
16384                 144.25
32768                 172.31
65536                 198.95
131072                317.39
262144                541.60
524288               1012.95
1048576              1962.76
