# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      51.54
2                      50.70
4                      50.54
8                      50.53
16                     50.54
32                     50.82
64                     50.72
128                    51.27
256                    50.95
512                    51.26
1024                   52.03
2048                   54.27
4096                   54.92
8192                   55.66
16384                  57.70
32768                  61.59
65536                  71.06
131072                 73.97
262144                100.42
524288                222.80
1048576              2393.52
