# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      55.60
2                      55.21
4                      55.32
8                      55.34
16                     55.39
32                     55.43
64                     55.69
128                    55.85
256                    59.15
512                    59.67
1024                   61.64
2048                   65.98
4096                   67.71
8192                   70.16
16384                  74.48
32768                  82.23
65536                 103.23
131072                122.38
262144                173.49
524288                258.22
1048576               518.65
