# OSU MPI-CUDA Allgather Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.06
2                      42.05
4                      41.74
8                      41.98
16                     42.02
32                     42.06
64                     42.07
128                    43.09
256                    45.00
512                    46.70
1024                   49.87
2048                   52.38
4096                   52.99
8192                   55.80
16384                  60.20
32768                  69.60
65536                  83.16
131072                107.52
262144                155.98
524288                256.08
1048576               468.64
