# OSU MPI-CUDA Allreduce Latency Test v7.5.2
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                      33.42
8                      32.89
16                     33.21
32                     33.79
64                     33.62
128                    33.77
256                    34.21
512                    35.49
1024                   36.68
2048                   38.35
4096                   54.84
8192                   67.55
16384                  88.95
32768                  98.03
65536                 122.84
131072                149.05
262144                221.50
524288                366.56
1048576               686.48
