# OSU MPI-CUDA All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      59.57
2                      59.18
4                      59.31
8                      59.45
16                     59.21
32                     59.28
64                     59.54
128                    59.23
256                    59.35
512                    58.81
1024                   58.75
2048                   58.83
4096                   58.64
8192                   58.48
16384                  58.45
32768                  59.27
65536                  58.29
131072                 57.86
262144                 57.73
524288                 80.05
1048576                68.72
