# OSU MPI All-to-All Personalized Exchange Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       5.98
2                       6.03
4                       5.87
8                       5.84
16                      5.84
32                      5.85
64                      5.99
128                     6.28
256                     7.25
512                     7.31
1024                    7.40
2048                    7.53
4096                    7.81
8192                   10.95
16384                  12.28
32768                  14.26
65536                  19.42
131072                 29.06
262144                 48.62
524288                105.60
1048576               181.59
