# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.23    0.00    0.00       0
           0             0      int8    none      -1     0.24    0.00    0.00       0     0.30    0.00    0.00       0
           0             0      int8    none      -1     0.29    0.00    0.00       0     0.29    0.00    0.00       0
           0             0      int8    none      -1     0.29    0.00    0.00       0     0.29    0.00    0.00       0
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.27    0.00    0.00       0
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.26    0.00    0.00       0
           0             0      int8    none      -1     0.25    0.00    0.00       0     0.24    0.00    0.00       0
           0             0      int8    none      -1     0.24    0.00    0.00       0     0.23    0.00    0.00       0
           0             0      int8    none      -1     0.23    0.00    0.00       0     0.23    0.00    0.00       0
           0             0      int8    none      -1     0.25    0.00    0.00       0     0.21    0.00    0.00       0
        1024            16      int8    none      -1   150.17    0.01    0.01       0   144.16    0.01    0.01       0
        2048            32      int8    none      -1   145.18    0.01    0.01       0   161.30    0.01    0.01       0
        4096            64      int8    none      -1   145.49    0.03    0.03       0   144.81    0.03    0.03       0
        8192           128      int8    none      -1   142.96    0.06    0.06       0   145.71    0.06    0.06       0
       16384           256      int8    none      -1   147.58    0.11    0.11       0   147.63    0.11    0.11       0
       32768           512      int8    none      -1   156.57    0.21    0.21       0   158.56    0.21    0.20       0
       65536          1024      int8    none      -1   176.36    0.37    0.37       0   205.95    0.32    0.31       0
      131072          2048      int8    none      -1   214.09    0.61    0.60       0   185.80    0.71    0.69       0
      262144          4096      int8    none      -1   253.73    1.03    1.02       0   222.82    1.18    1.16       0
      524288          8192      int8    none      -1   275.23    1.90    1.88       0   276.67    1.89    1.87       0
     1048576         16384      int8    none      -1   327.26    3.20    3.15       0   248.12    4.23    4.16       0
     2097152         32768      int8    none      -1   558.43    3.76    3.70       0   557.46    3.76    3.70       0
     4194304         65536      int8    none      -1   637.73    6.58    6.47       0   637.50    6.58    6.48       0
     8388608        131072      int8    none      -1   848.45    9.89    9.73       0   844.05    9.94    9.78       0
    16777216        262144      int8    none      -1   825.91   20.31   20.00       0   835.12   20.09   19.78       0
    33554432        524288      int8    none      -1  1152.38   29.12   28.66       0  1220.33   27.50   27.07       0
    67108864       1048576      int8    none      -1  2423.56   27.69   27.26       0  2753.36   24.37   23.99       0
   134217728       2097152      int8    none      -1  2179.01   61.60   60.63       0  2046.52   65.58   64.56       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.85448 
#
# Collective test concluded: all_gather_perf
#

