# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1      int8     sum      -1    42.50    0.00    0.00       0    39.82    0.00    0.00       0
           2             2      int8     sum      -1    40.31    0.00    0.00       0    38.79    0.00    0.00       0
           4             4      int8     sum      -1    45.90    0.00    0.00       0    39.09    0.00    0.00       0
           8             8      int8     sum      -1    38.95    0.00    0.00       0    38.77    0.00    0.00       0
          16            16      int8     sum      -1    38.66    0.00    0.00       0    39.13    0.00    0.00       0
          32            32      int8     sum      -1    38.58    0.00    0.00       0    38.67    0.00    0.00       0
          64            64      int8     sum      -1    46.12    0.00    0.00       0    44.51    0.00    0.00       0
         128           128      int8     sum      -1    45.88    0.00    0.01       0    45.02    0.00    0.01       0
         256           256      int8     sum      -1    50.82    0.01    0.01       0    45.68    0.01    0.01       0
         512           512      int8     sum      -1    49.63    0.01    0.02       0    47.14    0.01    0.02       0
        1024          1024      int8     sum      -1    50.60    0.02    0.04       0    50.05    0.02    0.04       0
        2048          2048      int8     sum      -1    55.45    0.04    0.07       0    53.48    0.04    0.08       0
        4096          4096      int8     sum      -1    61.11    0.07    0.13       0    57.81    0.07    0.14       0
        8192          8192      int8     sum      -1    62.59    0.13    0.26       0    58.57    0.14    0.28       0
       16384         16384      int8     sum      -1    64.08    0.26    0.50       0    59.82    0.27    0.54       0
       32768         32768      int8     sum      -1    63.59    0.52    1.01       0    62.05    0.53    1.04       0
       65536         65536      int8     sum      -1    76.52    0.86    1.69       0    72.78    0.90    1.77       0
      131072        131072      int8     sum      -1   121.70    1.08    2.12       0   118.98    1.10    2.17       0
      262144        262144      int8     sum      -1   189.33    1.38    2.73       0   189.16    1.39    2.73       0
      524288        524288      int8     sum      -1   246.19    2.13    4.19       0   244.65    2.14    4.22       0
     1048576       1048576      int8     sum      -1   340.12    3.08    6.07       0   341.88    3.07    6.04       0
     2097152       2097152      int8     sum      -1   556.34    3.77    7.42       0   557.37    3.76    7.41       0
     4194304       4194304      int8     sum      -1   977.91    4.29    8.44       0   978.69    4.29    8.44       0
     8388608       8388608      int8     sum      -1  1082.11    7.75   15.26       0  1069.46    7.84   15.44       0
    16777216      16777216      int8     sum      -1  1344.86   12.48   24.56       0  1295.87   12.95   25.49       0
    33554432      33554432      int8     sum      -1  1804.62   18.59   36.61       0  1801.65   18.62   36.67       0
    67108864      67108864      int8     sum      -1  2763.29   24.29   47.81       0  2981.13   22.51   44.32       0
   134217728     134217728      int8     sum      -1  4465.93   30.05   59.17       0  5005.89   26.81   52.79       0
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 7.63857 
#
# Collective test concluded: all_reduce_perf
#

