# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.41    0.00    0.00       0     0.28    0.00    0.00    N/A
           0             0      int8    none      -1     0.29    0.00    0.00       0     0.30    0.00    0.00    N/A
           0             0      int8    none      -1     0.31    0.00    0.00       0     0.30    0.00    0.00    N/A
           0             0      int8    none      -1     0.35    0.00    0.00       0     0.33    0.00    0.00    N/A
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.32    0.00    0.00    N/A
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.32    0.00    0.00    N/A
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.30    0.00    0.00    N/A
           0             0      int8    none      -1     0.29    0.00    0.00       0     0.27    0.00    0.00    N/A
           0             0      int8    none      -1     0.25    0.00    0.00       0     0.26    0.00    0.00    N/A
        1024            16      int8    none      -1   180.47    0.01    0.01       0   175.19    0.01    0.01    N/A
        2048            32      int8    none      -1   171.06    0.01    0.01       0   170.67    0.01    0.01    N/A
        4096            64      int8    none      -1   169.09    0.02    0.02       0   173.21    0.02    0.02    N/A
        8192           128      int8    none      -1   173.35    0.05    0.05       0   172.55    0.05    0.05    N/A
       16384           256      int8    none      -1   151.69    0.11    0.11       0   155.57    0.11    0.10    N/A
       32768           512      int8    none      -1   154.81    0.21    0.21       0   153.95    0.21    0.21    N/A
       65536          1024      int8    none      -1   158.29    0.41    0.41       0   159.15    0.41    0.41    N/A
      131072          2048      int8    none      -1   178.67    0.73    0.72       0   174.96    0.75    0.74    N/A
      262144          4096      int8    none      -1   178.00    1.47    1.45       0   182.16    1.44    1.42    N/A
      524288          8192      int8    none      -1   209.07    2.51    2.47       0   213.82    2.45    2.41    N/A
     1048576         16384      int8    none      -1   274.28    3.82    3.76       0   267.15    3.93    3.86    N/A
     2097152         32768      int8    none      -1   283.19    7.41    7.29       0   287.33    7.30    7.18    N/A
     4194304         65536      int8    none      -1   548.34    7.65    7.53       0   544.67    7.70    7.58    N/A
     8388608        131072      int8    none      -1   569.33   14.73   14.50       0   812.43   10.33   10.16    N/A
    16777216        262144      int8    none      -1  1190.31   14.09   13.87       0  1448.89   11.58   11.40    N/A
    33554432        524288      int8    none      -1  2703.47   12.41   12.22       0  2651.93   12.65   12.46    N/A
    67108864       1048576      int8    none      -1  4182.44   16.05   15.79       0  4419.73   15.18   14.95    N/A
   134217728       2097152      int8    none      -1  7741.26   17.34   17.07       0  75630.1    1.77    1.75    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 3.07509 
#
# Collective test concluded: alltoall_perf
#

