# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.38    0.00    0.00       0     0.24    0.00    0.00       0
           0             0      int8    none      -1     0.26    0.00    0.00       0     0.32    0.00    0.00       0
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.31    0.00    0.00       0
           0             0      int8    none      -1     0.33    0.00    0.00       0     0.32    0.00    0.00       0
           0             0      int8    none      -1     0.29    0.00    0.00       0     0.28    0.00    0.00       0
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.27    0.00    0.00       0
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.26    0.00    0.00       0
           0             0      int8    none      -1     0.26    0.00    0.00       0     0.24    0.00    0.00       0
           0             0      int8    none      -1     0.24    0.00    0.00       0     0.26    0.00    0.00       0
           0             0      int8    none      -1     0.24    0.00    0.00       0     0.24    0.00    0.00       0
        1024            16      int8    none      -1   145.79    0.01    0.01       0   145.17    0.01    0.01       0
        2048            32      int8    none      -1   141.23    0.01    0.01       0   140.50    0.01    0.01       0
        4096            64      int8    none      -1   142.96    0.03    0.03       0   143.81    0.03    0.03       0
        8192           128      int8    none      -1   144.30    0.06    0.06       0   144.73    0.06    0.06       0
       16384           256      int8    none      -1   146.92    0.11    0.11       0   145.98    0.11    0.11       0
       32768           512      int8    none      -1   157.51    0.21    0.20       0   157.76    0.21    0.20       0
       65536          1024      int8    none      -1   173.79    0.38    0.37       0   202.46    0.32    0.32       0
      131072          2048      int8    none      -1   182.31    0.72    0.71       0   187.22    0.70    0.69       0
      262144          4096      int8    none      -1   255.88    1.02    1.01       0   225.33    1.16    1.15       0
      524288          8192      int8    none      -1   258.36    2.03    2.00       0   253.69    2.07    2.03       0
     1048576         16384      int8    none      -1   297.97    3.52    3.46       0   276.65    3.79    3.73       0
     2097152         32768      int8    none      -1   448.29    4.68    4.61       0   430.29    4.87    4.80       0
     4194304         65536      int8    none      -1   491.24    8.54    8.40       0   516.72    8.12    7.99       0
     8388608        131072      int8    none      -1   613.54   13.67   13.46   40520   600.61   13.97   13.75   28864
    16777216        262144      int8    none      -1   852.44   19.68   19.37   27840   860.67   19.49   19.19   16256
    33554432        524288      int8    none      -1   628.38   53.40   52.56       0  2305.82   14.55   14.32       0
    67108864       1048576      int8    none      -1  3967.68   16.91   16.65       0   803.25   83.55   82.24       0
   134217728       2097152      int8    none      -1  42150.3    3.18    3.13       0  43493.1    3.09    3.04       0
# Out of bounds values : 256 FAILED
# Avg bus bandwidth    : 4.99689 
#
# Collective test concluded: all_gather_perf
#

