# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: alltoall_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.44    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0      int8    none      -1     0.28    0.00    0.00       0     0.31    0.00    0.00    N/A
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.35    0.00    0.00    N/A
           0             0      int8    none      -1     0.32    0.00    0.00       0     0.32    0.00    0.00    N/A
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.32    0.00    0.00    N/A
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.29    0.00    0.00    N/A
           0             0      int8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00    N/A
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.25    0.00    0.00    N/A
           0             0      int8    none      -1     0.26    0.00    0.00       0     0.26    0.00    0.00    N/A
           0             0      int8    none      -1     0.27    0.00    0.00       0     0.26    0.00    0.00    N/A
        1024            16      int8    none      -1   181.79    0.01    0.01       0   175.02    0.01    0.01    N/A
        2048            32      int8    none      -1   171.50    0.01    0.01       0   171.25    0.01    0.01    N/A
        4096            64      int8    none      -1   171.00    0.02    0.02       0   174.55    0.02    0.02    N/A
        8192           128      int8    none      -1   174.00    0.05    0.05       0   170.26    0.05    0.05    N/A
       16384           256      int8    none      -1   154.73    0.11    0.10       0   157.55    0.10    0.10    N/A
       32768           512      int8    none      -1   154.80    0.21    0.21       0   155.48    0.21    0.21    N/A
       65536          1024      int8    none      -1   158.95    0.41    0.41       0   162.17    0.40    0.40    N/A
      131072          2048      int8    none      -1   178.50    0.73    0.72       0   182.98    0.72    0.71    N/A
      262144          4096      int8    none      -1   185.47    1.41    1.39       0   183.95    1.43    1.40    N/A
      524288          8192      int8    none      -1   211.73    2.48    2.44       0   212.58    2.47    2.43    N/A
     1048576         16384      int8    none      -1   269.95    3.88    3.82       0   271.91    3.86    3.80    N/A
     2097152         32768      int8    none      -1   387.03    5.42    5.33       0   382.34    5.49    5.40    N/A
     4194304         65536      int8    none      -1   749.78    5.59    5.51       0   769.46    5.45    5.37    N/A
     8388608        131072      int8    none      -1  1285.91    6.52    6.42       0  1241.53    6.76    6.65    N/A
    16777216        262144      int8    none      -1  2608.56    6.43    6.33       0  2614.24    6.42    6.32    N/A
    33554432        524288      int8    none      -1  5424.10    6.19    6.09       0  5408.61    6.20    6.11    N/A
    67108864       1048576      int8    none      -1  4250.10   15.79   15.54       0  4261.65   15.75   15.50    N/A
   134217728       2097152      int8    none      -1  8103.88   16.56   16.30       0  8791.53   15.27   15.03    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.50371 
#
# Collective test concluded: alltoall_perf
#

