# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_gather_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           0             0      int8    none      -1     0.31    0.00    0.00       0     0.22    0.00    0.00       0
           0             0      int8    none      -1     0.24    0.00    0.00       0     0.30    0.00    0.00       0
           0             0      int8    none      -1     0.30    0.00    0.00       0     0.29    0.00    0.00       0
           0             0      int8    none      -1     0.29    0.00    0.00       0     0.31    0.00    0.00       0
           0             0      int8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00       0
           0             0      int8    none      -1     0.28    0.00    0.00       0     0.27    0.00    0.00       0
           0             0      int8    none      -1     0.28    0.00    0.00       0     0.26    0.00    0.00       0
           0             0      int8    none      -1     0.25    0.00    0.00       0     0.25    0.00    0.00       0
           0             0      int8    none      -1     0.26    0.00    0.00       0     0.26    0.00    0.00       0
           0             0      int8    none      -1     0.25    0.00    0.00       0     0.24    0.00    0.00       0
        1024            16      int8    none      -1   100.02    0.01    0.01       0    96.08    0.01    0.01       0
        2048            32      int8    none      -1    95.18    0.02    0.02       0    96.56    0.02    0.02       0
        4096            64      int8    none      -1    97.18    0.04    0.04       0    97.67    0.04    0.04       0
        8192           128      int8    none      -1   107.05    0.08    0.08       0   107.85    0.08    0.07       0
       16384           256      int8    none      -1   111.77    0.15    0.14       0   112.17    0.15    0.14       0
       32768           512      int8    none      -1   115.77    0.28    0.28       0   114.71    0.29    0.28       0
       65536          1024      int8    none      -1   120.62    0.54    0.53       0   119.77    0.55    0.54       0
      131072          2048      int8    none      -1   123.27    1.06    1.05       0   123.42    1.06    1.05       0
      262144          4096      int8    none      -1   179.34    1.46    1.44       0   151.93    1.73    1.70       0
      524288          8192      int8    none      -1   157.23    3.33    3.28       0   207.09    2.53    2.49       0
     1048576         16384      int8    none      -1   228.86    4.58    4.51       0   293.29    3.58    3.52       0
     2097152         32768      int8    none      -1   393.11    5.33    5.25       0   478.24    4.39    4.32       0
     4194304         65536      int8    none      -1   493.06    8.51    8.37       0   509.75    8.23    8.10    2944
     8388608        131072      int8    none      -1   629.87   13.32   13.11   51968   598.57   14.01   13.80   20936
    16777216        262144      int8    none      -1   817.98   20.51   20.19   36100   804.74   20.85   20.52   38144
    33554432        524288      int8    none      -1  2510.88   13.36   13.15       0  1302.01   25.77   25.37       0
    67108864       1048576      int8    none      -1   802.69   83.60   82.30       0  11456.9    5.86    5.77       0
   134217728       2097152      int8    none      -1  50477.6    2.66    2.62       0  57698.0    2.33    2.29       0
# Out of bounds values : 302 FAILED
# Avg bus bandwidth    : 4.40008 
#
# Collective test concluded: all_gather_perf
#

