# nccl-tests version 2.17.9 nccl-headers=22902 nccl-library=22902
# Collective test starting: all_reduce_perf
# nThread 1 nGpus 1 minBytes 1 maxBytes 134217728 step: 2(factor) warmup iters: 1 iters: 20 agg iters: 1 validation: 1 graph: 0
#
# Using devices
#
#                                                              out-of-place                       in-place          
#       size         count      type   redop    root     time   algbw   busbw  #wrong     time   algbw   busbw  #wrong 
#        (B)    (elements)                               (us)  (GB/s)  (GB/s)             (us)  (GB/s)  (GB/s)         
           1             1      int8     sum      -1    41.24    0.00    0.00       0    41.29    0.00    0.00       0
           2             2      int8     sum      -1    39.55    0.00    0.00       0    40.18    0.00    0.00       0
           4             4      int8     sum      -1   123.63    0.00    0.00       0   158.26    0.00    0.00       0
           8             8      int8     sum      -1    41.28    0.00    0.00       0    39.37    0.00    0.00       0
          16            16      int8     sum      -1   141.43    0.00    0.00       0    40.45    0.00    0.00       0
          32            32      int8     sum      -1   116.11    0.00    0.00       0    39.93    0.00    0.00       0
          64            64      int8     sum      -1    46.40    0.00    0.00       0    47.27    0.00    0.00       0
         128           128      int8     sum      -1    46.67    0.00    0.01       0    46.45    0.00    0.01       0
         256           256      int8     sum      -1    52.76    0.00    0.01       0    47.11    0.01    0.01       0
         512           512      int8     sum      -1    48.77    0.01    0.02       0    48.93    0.01    0.02       0
        1024          1024      int8     sum      -1    52.40    0.02    0.04       0    51.15    0.02    0.04       0
        2048          2048      int8     sum      -1    56.46    0.04    0.07       0    56.23    0.04    0.07       0
        4096          4096      int8     sum      -1    60.39    0.07    0.13       0    60.14    0.07    0.13       0
        8192          8192      int8     sum      -1    62.10    0.13    0.26       0    60.44    0.14    0.27       0
       16384         16384      int8     sum      -1    62.77    0.26    0.51       0    63.11    0.26    0.51       0
       32768         32768      int8     sum      -1    64.32    0.51    1.00       0    63.42    0.52    1.02       0
       65536         65536      int8     sum      -1    78.25    0.84    1.65       0    76.83    0.85    1.68       0
      131072        131072      int8     sum      -1    96.61    1.36    2.67       0    93.51    1.40    2.76       0
      262144        262144      int8     sum      -1    97.86    2.68    5.27       0    98.93    2.65    5.22       0
      524288        524288      int8     sum      -1   113.00    4.64    9.13       0   110.97    4.72    9.30       0
     1048576       1048576      int8     sum      -1   134.24    7.81   15.38    8192   132.00    7.94   15.64    8192
     2097152       2097152      int8     sum      -1   209.31   10.02   19.73       0   504.20    4.16    8.19    4096
     4194304       4194304      int8     sum      -1   485.77    8.63   17.00   12532   460.90    9.10   17.92   20352
     8388608       8388608      int8     sum      -1   648.49   12.94   25.47   16576   648.49   12.94   25.47    5872
    16777216      16777216      int8     sum      -1  1740.03    9.64   18.98       0   849.72   19.74   38.87       0
    33554432      33554432      int8     sum      -1  1996.82   16.80   33.08       0  1267.59   26.47   52.12       0
    67108864      67108864      int8     sum      -1  19093.6    3.51    6.92       0  32562.5    2.06    4.06       0
   134217728     134217728      int8     sum      -1  96914.3    1.38    2.73       0   146663    0.92    1.80       0
# Out of bounds values : 448 FAILED
# Avg bus bandwidth    : 6.16367 
#
# Collective test concluded: all_reduce_perf
#

