
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.36              Pass
2                       2.72              Pass
4                       5.44              Pass
8                      10.89              Pass
16                     21.78              Pass
32                     43.69              Pass
64                     87.09              Pass
128                   174.27              Pass
256                   350.55              Pass
512                   701.36              Pass
1024                 1398.31              Pass
2048                 2794.58              Pass
4096                 5536.70              Pass
8192                10996.31              Pass
16384               19469.61              Pass
32768               22930.90              Pass
65536               27720.35              Pass
131072              30543.75              Pass
262144              31657.77              Pass
524288              27942.28              Pass
1048576             28773.99              Pass
2097152             28389.86              Pass
4194304             28666.90              Pass
