
# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.60              Pass
2                       3.20              Pass
4                       6.40              Pass
8                      12.80              Pass
16                     25.41              Pass
32                     51.27              Pass
64                    102.35              Pass
128                   204.08              Pass
256                   409.14              Pass
512                   795.36              Pass
1024                 1568.66              Pass
2048                 2926.52              Pass
4096                 5374.20              Pass
8192                 9392.63              Pass
16384               14507.91              Pass
32768               22420.35              Pass
65536               28346.72              Pass
131072              30070.78              Pass
262144              29942.82              Pass
524288              27517.36              Pass
1048576             28409.53              Pass
2097152             28088.72              Pass
4194304             27625.47              Pass
