# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       2.71              Pass
2                       5.35              Pass
4                      10.74              Pass
8                      21.61              Pass
16                     43.12              Pass
32                     86.60              Pass
64                    160.36              Pass
128                   319.34              Pass
256                   532.02              Pass
512                   982.07              Pass
1024                 1802.10              Pass
2048                 2970.99              Pass
4096                 3934.43              Pass
8192                14141.11              Pass
16384               22129.90              Pass
32768               31415.01              Pass
65536               42707.73              Pass
131072              58898.00              Pass
262144              45305.99              Pass
524288              27032.26              Pass
1048576             23247.32              Pass
2097152             23004.34              Pass
4194304             22587.15              Pass
