
# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.42              Pass
2                       2.80              Pass
4                       5.58              Pass
8                      11.07              Pass
16                     22.46              Pass
32                     44.34              Pass
64                     89.24              Pass
128                   176.93              Pass
256                   354.28              Pass
512                   716.63              Pass
1024                 1455.13              Pass
2048                 2929.50              Pass
4096                 5855.67              Pass
8192                11665.44              Pass
16384               21622.53              Pass
32768               18552.52              Pass
65536               18177.79              Pass
131072              33814.19              Pass
262144              34351.26              Pass
524288              34323.40              Pass
1048576             34498.66              Pass
2097152             34630.25              Pass
4194304             34687.84              Pass
