# OSU MPI-ROCM Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       0.22              Pass
2                       0.43              Pass
4                       0.87              Pass
8                       1.75              Pass
16                      3.54              Pass
32                      7.15              Pass
64                     14.31              Pass
128                    28.46              Pass
256                    57.33              Pass
512                   113.46              Pass
1024                  226.25              Pass
2048                  449.09              Pass
4096                  694.73              Pass
8192                 1385.40              Pass
16384                2762.26              Pass
32768                5404.94              Pass
65536               10478.68              Pass
131072              19682.49              Pass
262144              34880.98              Pass
524288              57397.73              Pass
1048576             78703.77              Pass
2097152             96577.60              Pass
4194304            109510.09              Pass
