0 cxi 2 2 shm+cxi:cxi2
0 gpu 4 2
1 cxi 1 2 shm+cxi:cxi1
1 gpu 2 2

# OSU MPI-ROCM Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       8.53              Pass
2                       8.52              Pass
4                       8.51              Pass
8                       8.58              Pass
16                      8.59              Pass
32                      8.53              Pass
64                      8.61              Pass
128                     8.63              Pass
256                     8.67              Pass
512                     8.73              Pass
1024                    8.80              Pass
2048                    8.90              Pass
4096                   14.76              Pass
8192                   14.90              Pass
16384                  15.05              Pass
32768                  15.21              Pass
65536                  15.32              Pass
131072                 15.92              Pass
262144                 17.46              Pass
524288                 21.04              Pass
1048576                29.10              Pass
2097152                44.43              Pass
4194304                74.42              Pass
