# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.66
2                       1.34
4                       2.68
8                       5.33
16                     10.69
32                     21.34
64                     42.30
128                    68.58
256                   126.70
512                   257.37
1024                  504.19
2048                  951.63
4096                 1747.98
8192                 1238.07
16384                2522.25
32768                3534.20
65536                6415.24
131072              11143.66
262144              17073.45
524288              25429.98
1048576             32551.76
2097152             38562.60
4194304             39720.37
