# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.52
2                       1.03
4                       2.26
8                       4.46
16                      8.59
32                     17.83
64                     36.05
128                    59.14
256                   112.39
512                   213.80
1024                  439.12
2048                  850.07
4096                 1583.72
8192                 1170.14
16384                2117.08
32768                2887.25
65536                5335.58
131072               9405.58
262144              15671.46
524288              23306.58
1048576             30622.42
2097152             37324.51
4194304             40495.00
