# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.13
4                       2.26
8                       4.66
16                      9.27
32                     18.47
64                     35.14
128                    60.66
256                   114.98
512                   226.01
1024                  446.16
2048                  813.09
4096                 1557.89
8192                  769.97
16384                2176.24
32768                3009.43
65536                5686.31
131072               9940.26
262144              15637.83
524288              23915.52
1048576             31367.70
2097152             37297.44
4194304             41570.59
