# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.15
2                       0.30
4                       0.63
8                       1.23
16                      2.49
32                      4.97
64                     10.29
128                    20.31
256                    40.33
512                    85.10
1024                  157.83
2048                  321.93
4096                  617.78
8192                 1343.66
16384                2544.18
32768                5147.18
65536               10071.62
131072              19819.23
262144              35383.98
524288              60027.54
1048576             97708.51
2097152            136218.51
4194304            179938.52
