# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.63
2                       1.27
4                       2.56
8                       4.44
16                     10.27
32                     20.40
64                     40.92
128                    69.65
256                   135.55
512                   269.39
1024                  527.11
2048                 1011.89
4096                 1878.27
8192                 3392.64
16384                5907.34
32768                6099.07
65536               10405.51
131072              16528.31
262144              24651.32
524288              32489.66
1048576             37801.34
2097152             41845.29
4194304             44106.68
