# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.30
2                       2.61
4                       5.23
8                      10.46
16                     20.96
32                     42.43
64                     86.89
128                   173.41
256                   348.26
512                   692.28
1024                 1288.77
2048                 2688.96
4096                 4875.17
8192                 1042.24
16384                2375.30
32768                6592.49
65536               13250.86
131072              26308.05
262144              43884.25
524288              45218.29
1048576             45906.16
2097152             46301.43
4194304             46494.30
