# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.22
2                       0.45
4                       0.90
8                       1.80
16                      3.60
32                      7.19
64                     14.36
128                    28.77
256                    57.36
512                   114.06
1024                  228.67
2048                  455.12
4096                  905.67
8192                 1793.49
16384                3545.23
32768                6940.26
65536               13457.45
131072              25304.60
262144              45237.40
524288              76992.84
1048576            117186.01
2097152            159251.85
4194304            195749.70
