# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.21
2                       0.43
4                       0.87
8                       1.74
16                      3.50
32                      7.01
64                     14.00
128                    27.98
256                    56.98
512                   113.92
1024                  227.56
2048                  448.72
4096                  896.29
8192                 1775.47
16384                3541.17
32768                6898.11
65536               13541.14
131072              25388.53
262144              45306.69
524288              77807.64
1048576            117920.52
2097152            158971.95
4194304            195241.95
