# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.31
2                       0.69
4                       1.34
8                       2.73
16                      5.27
32                     10.69
64                     21.19
128                    42.79
256                    85.43
512                   180.94
1024                  353.72
2048                  713.02
4096                 1399.79
8192                 2841.36
16384                5631.49
32768               11520.40
65536               22588.64
131072              46327.12
262144              87293.95
524288             133321.45
1048576            173580.72
2097152            204243.39
4194304            225436.74
