# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.84
2                       3.68
4                       7.33
8                      14.67
16                     29.49
32                     59.32
64                    118.73
128                   235.02
256                   466.56
512                   927.34
1024                 1687.30
2048                 3661.53
4096                 6902.21
8192                11627.53
16384               18249.13
32768               31085.03
65536               40357.22
131072              43224.71
262144              44935.19
524288              45834.66
1048576             46259.50
2097152             46475.65
4194304             46587.01
