# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.40
4                       6.86
8                      13.63
16                     27.53
32                     55.07
64                    109.56
128                   217.95
256                   441.71
512                   880.37
1024                 1601.51
2048                 3413.73
4096                 6085.38
8192                11099.01
16384               17679.79
32768               30725.79
65536               40583.38
131072              43541.68
262144              45118.96
524288              45903.32
1048576             46290.36
2097152             46497.48
4194304             46603.48
