# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.65
2                       3.31
4                       6.66
8                      13.24
16                     26.39
32                     53.19
64                    106.03
128                   210.82
256                   427.33
512                   853.02
1024                 1563.27
2048                 3337.84
4096                 5988.65
8192                10860.61
16384               17237.80
32768               29462.94
65536               40484.37
131072              43439.41
262144              45070.39
524288              45865.38
1048576             46288.42
2097152             46490.05
4194304             46595.54
