# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.35
2                       2.72
4                       5.45
8                      10.93
16                     21.78
32                     43.64
64                     86.41
128                   172.67
256                   239.89
512                   478.03
1024                  850.39
2048                 1425.27
4096                 2624.38
8192                10276.52
16384               19590.81
32768               35436.06
65536               59224.08
131072              86599.70
262144             107795.15
524288             100550.14
1048576             54412.78
2097152             41039.04
4194304             35683.46
