# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       5.28
2                      10.25
4                      20.10
8                      40.82
16                     39.81
32                     76.90
64                    122.19
128                   182.01
256                   312.12
512                   608.85
1024                 1170.69
2048                 2161.01
4096                 4342.86
8192                 7763.19
16384               15642.49
32768               29648.22
65536               49957.59
131072              77706.45
262144             102340.85
524288              77206.99
1048576             50911.55
2097152             39104.63
4194304             36075.82
