# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       1.53
2                       3.21
4                       6.49
8                      13.03
16                     26.06
32                     52.26
64                    101.08
128                   207.03
256                   423.80
512                   804.05
1024                 1600.97
2048                 3135.70
4096                 6355.02
8192                12705.01
16384               23437.08
32768               29226.53
65536               34976.84
131072              39021.20
262144              43208.26
524288              44400.10
1048576             45109.26
2097152             45343.23
4194304             46021.58
