# OSU MPI-CUDA Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.20
2                       0.38
4                       0.79
8                       1.57
16                      3.15
32                      6.32
64                     12.60
128                    25.23
256                    50.27
512                   100.51
1024                  200.60
2048                  400.93
4096                  794.19
8192                 1578.24
16384                3117.06
32768                6184.42
65536               11965.98
131072              22576.44
262144              41555.71
524288              70712.22
1048576            109533.56
2097152            151259.99
4194304            188526.30
