# OSU MPI-CUDA Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.93              Pass
2                       2.86              Pass
4                       2.81              Pass
8                       2.83              Pass
16                      2.81              Pass
32                      2.84              Pass
64                      2.85              Pass
128                     3.32              Pass
256                     3.49              Pass
512                     3.53              Pass
1024                    3.63              Pass
2048                    3.79              Pass
4096                    3.98              Pass
8192                    4.28              Pass
16384                   4.84              Pass
32768                   7.72              Pass
65536                  10.05              Pass
131072                 12.27              Pass
262144                 17.53              Pass
524288                 28.45              Pass
1048576                50.19              Pass
2097152                93.30              Pass
4194304               179.70              Pass
