# OSU MPI-CUDA Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.87
2                       2.85
4                       2.89
8                       2.89
16                      2.85
32                      2.88
64                      2.88
128                     3.37
256                     3.53
512                     3.57
1024                    3.65
2048                    3.82
4096                    4.05
8192                    4.64
16384                   5.23
32768                   8.94
65536                  11.47
131072                 13.14
262144                 17.88
524288                 28.82
1048576                50.88
2097152                94.10
4194304               180.51
