# OSU MPI-CUDA Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                      11.93              Pass
2                      11.62              Pass
4                      11.58              Pass
8                      11.53              Pass
16                     11.52              Pass
32                     11.52              Pass
64                     11.52              Pass
128                    11.51              Pass
256                    11.54              Pass
512                    11.43              Pass
1024                   11.50              Pass
2048                   11.44              Pass
4096                   11.66              Pass
8192                   11.92              Pass
16384                  11.99              Pass
32768                  12.08              Pass
65536                  12.40              Pass
131072                 12.71              Pass
262144                 13.59              Pass
524288                 15.59              Pass
1048576                20.05              Pass
2097152                28.16              Pass
4194304                44.21              Pass
